# qdac_multiple_set	qdac_ch19_curr_ucal	qdac_ch22_curr_ucal	timer
# "Voltage"	"ch19"	"ch22"	"Elapsed time"
# 1001
-0.859999999999999	-2.0773e-09	-3.11456e-10	51.3237213999964
-0.84	-2.06544e-09	-3.23375e-10	51.4356907999609
-0.82	-2.05282e-09	-3.36489e-10	51.5475598999765
-0.799999999999999	-2.04919e-09	-3.42866e-10	51.6596824999433
-0.779999999999999	-2.03027e-09	-3.51509e-10	51.771821500035
-0.76	-2.02315e-09	-3.63912e-10	51.8835944999009
-0.74	-2.01534e-09	-3.71426e-10	51.9956332000438
-0.720000000000001	-1.9948e-09	-3.81368e-10	52.1075702998787
-0.699999999999999	-1.98513e-09	-3.95978e-10	52.2195961000398
-0.68	-1.975e-09	-4.06903e-10	52.3316776999272
-0.66	-1.97495e-09	-4.16492e-10	52.4437281000428
-0.640000000000001	-1.95787e-09	-4.24823e-10	52.5556783999782
-0.619999999999999	-1.94534e-09	-4.37886e-10	52.6675122000743
-0.6	-1.93669e-09	-4.38895e-10	52.7795593999326
-0.58	-1.9219e-09	-4.45523e-10	52.8916191000026
-0.56	-1.91571e-09	-4.51668e-10	53.0036136000417
-0.539999999999999	-1.90053e-09	-4.71253e-10	53.1155568000395
-0.52	-1.89066e-09	-4.80954e-10	53.2275298000313
-0.5	-1.87615e-09	-4.89643e-10	53.3395070999395
-0.48	-1.86904e-09	-4.99252e-10	53.451698299963
-0.459999999999999	-1.85324e-09	-5.06884e-10	53.5634174000006
-0.44	-1.84787e-09	-5.21624e-10	53.6754834000021
-0.42	-1.83581e-09	-5.29166e-10	53.7874686999712
-0.4	-1.82869e-09	-5.3431e-10	53.8993909000419
-0.379999999999999	-1.81508e-09	-5.45477e-10	54.0114324998576
-0.359999999999999	-1.80568e-09	-5.57335e-10	54.123651899863
-0.34	-1.79528e-09	-5.63951e-10	54.2353854998946
-0.32	-1.78389e-09	-5.65382e-10	54.3474667998962
-0.299999999999999	-1.77317e-09	-5.74136e-10	54.4595697999466
-0.279999999999999	-1.76545e-09	-5.86917e-10	54.5714046000503
-0.26	-1.75246e-09	-5.98519e-10	54.6835050999653
-0.24	-1.74147e-09	-6.07388e-10	54.7955237000715
-0.220000000000001	-1.73144e-09	-6.16882e-10	54.9074770000298
-0.199999999999999	-1.71681e-09	-6.29356e-10	55.0193886999041
-0.18	-1.70908e-09	-6.39864e-10	55.1313103998546
-0.16	-1.70425e-09	-6.50491e-10	55.2434739000164
-0.140000000000001	-1.68681e-09	-6.68412e-10	55.3553553998936
-0.119999999999999	-1.67633e-09	-6.79013e-10	55.4674469998572
-0.0999999999999996	-1.67048e-09	-6.84172e-10	55.5793500998989
-0.0800000000000001	-1.65562e-09	-6.95604e-10	55.691419800045
-0.0600000000000005	-1.64567e-09	-6.99539e-10	55.8033280000091
-0.0399999999999991	-1.63697e-09	-7.09983e-10	55.9153309999965
-0.0199999999999996	-1.629e-09	-7.15392e-10	56.0274088999722
0	-1.6196e-09	-7.30531e-10	56.1394698000513
0.0199999999999996	-1.60261e-09	-7.34621e-10	56.2512779999524
0.0400000000000009	-1.59702e-09	-7.38206e-10	56.3634720998816
0.0600000000000005	-1.57737e-09	-7.49038e-10	56.4753612999339
0.0800000000000001	-1.57772e-09	-7.56443e-10	56.5873012999073
0.0999999999999996	-1.56157e-09	-7.61488e-10	56.6991908000782
